varname,var label,% missing,unique values,mean,min,max
RESPNO,Respondent number,0.0,1200,,,
URBRUR,Urban or Rural Primary Sampling Unit,0.0,2,,,
REGION,Province or region,0.0,10,,,
LOCATION.LEVEL.1,District,0.0,74,,,
EA_SVC_A,EA-SVC-A. Electricity grid in the PSU/EA,0.0,2,,,
EA_SVC_B,EA-SVC-B. Piped water system in the PSU/EA,0.0,3,,,
EA_SVC_C,EA-SVC-C. Sewage system in the PSU/EA,0.0,3,,,
EA_SVC_D,EA-SVC-D. Mobile phone service in the PSU/EA,0.0,3,,,
EA_SVC_E,EA-SVC-E.  Borehole or tubewell in PSU/EA,0.0,3,,,
EA_FAC_A,EA-FAC-A. Post office in the PSU/EA,0.0,2,,,
EA_FAC_B,EA-FAC-B. School in the PSU/EA,0.0,2,,,
EA_FAC_C,EA-FAC-C. Police station in the PSU/EA,0.0,2,,,
EA_FAC_D,EA-FAC-D. Health Clinic in the PSU/EA,0.0,2,,,
EA_FAC_E,EA-FAC-E. Market stalls in the PSU/EA,0.0,3,,,
EA_FAC_F,EA-FAC-F. Bank or money services in the PSU/EA,0.0,3,,,
EA_FAC_F2,EA-FAC-F2. Social/govt center/office in PSU/EA,0.0,3,,,
EA_FAC_G,EA-FAC-G. Paid transport in the PSU/EA,0.0,3,,,
EA_SEC_A,EA-SEC-A. Police in the PSU/EA,0.0,2,,,
EA_SEC_B,EA-SEC-B. Soldiers/army in the PSU/EA,0.0,2,,,
EA_SEC_C,EA-SEC-C. Roadblocks by police/army in the PSU/EA,0.0,2,,,
EA_SEC_D,EA-SEC-D. Customs checkpoints in the PSU/EA,0.0,2,,,
EA_SEC_E,EA-SEC-E. Roadblocks by private security/local community in the PSU/EA,0.0,2,,,
EA_ROAD_A,EA-ROAD-A. Road surface at start point,0.0,4,,,
EA_ROAD_B,EA-ROAD-B. Road surface last 5 km,0.0,4,,,
EA_ROAD_C,EA-ROAD-C. Road condition last 5 km,0.0,5,,,
NOCALL_1,Reason for Unsuccessful Call Household 1,0.0,9,,,
NOCALL_2,Reason for Unsuccessful Call Household 2,0.0,7,,,
NOCALL_3,Reason for Unsuccessful Call Household 3,0.0,5,,,
NOCALL_4,Reason for Unsuccessful Call Household 4,0.0,3,,,
NOCALL_5,Reason for Unsuccessful Call Household 5,0.0,1,,,
DATEINTR,Date of interview,0.0,15,,,
STRTIME,Time interview started,0.0,1200,,,
Q1,Q1. Age,0.0,70,39.086,18.0,95.0
Q2,Q2. Language spoken in home,0.0,12,,,
Q2OTHER,Q2other. Language spoken in home (verbatim),0.0,3,,,
Q3,Q3. Overall direction of the country,0.0,4,,,
Q4A,Q4a. Country’s present economic condition,0.0,6,,,
Q4B,Q4b. Your present living conditions,0.0,5,,,
Q5A,Q5a. Country’s economic condition compared to 12 months ago,0.0,5,,,
Q5B,Q5b. Your living conditions compared to 12 months ago,0.0,6,,,
Q6,Q6. Country’s economic condition in 12 months’ time,0.0,6,,,
Q7A,Q7a. How often gone without food,0.0,5,,,
Q7B,Q7b. How often gone without water,0.0,5,,,
Q7C,Q7c. How often gone without medical care,0.0,6,,,
Q7D,Q7d. How often gone without cooking fuel,0.0,5,,,
Q7E,Q7e. How often gone without cash income,0.0,6,,,
Q8A,Q8a. Requested assistance from family,0.0,5,,,
Q8B,Q8b. Requested assistance from friends or neighbours,0.0,4,,,
Q8C,Q8c. Requested assistance from religious or community group,0.0,4,,,
Q9,Q9. How often felt unsafe in home or neighbourhood,0.0,5,,,
Q10A,Q10a. Freedom to say what you think,0.0,6,,,
Q10B,Q10b. Freedom to join any political organization,0.0,6,,,
Q10C,Q10c. Freedom to choose who to vote for,0.0,6,,,
Q11A,Q11a. Joined others to request action from government,0.0,4,,,
Q11B,Q11b. Contacted media to share your views,0.0,4,,,
Q11C,Q11c. Posted about politics or community affairs on social media,0.0,4,,,
Q11D,Q11d. Attend a demonstration or protest march,0.0,4,,,
Q12A,Q12a. Contact MP,0.0,6,,,
Q12B,Q12b. Contact political party official,0.0,4,,,
Q12C,Q12c. Contact traditional leader,0.0,6,,,
Q13A,Q13a. Voting in the most recent national election,0.0,4,,,
Q13B,Q13b. Intend to vote in the next national election (if too young),0.0,4,,,
Q13C,Q13c. Reason for not voting,0.0,9,,,
Q13D,Q13d. Reason not registered to vote,0.0,7,,,
Q14,Q14. Lower voting age,0.0,6,,,
Q15,Q15. Freeness and fairness of the last national election,0.0,7,,,
Q16A,Q16a. How likely powerful people find out your vote,0.0,5,,,
Q16B,Q16b. Last national election: fear political intimidation or violence,0.0,4,,,
Q17,Q17. Government bans organizations vs join any,0.0,5,,,
